sds_sensor,bme_sensor,lat,lon,sealevel,surface_alt,surface_level,geometry,nearest_park,nearest_road,nearest_indust
43811,43812,55.70301725,37.45944073,198.1291227964083,163.0,35.129122796408296,POINT (37.45944073 55.70301725),708.7073924246233,112.19472672275309,1342.6385047211638
46280,46281,55.677867,37.4563253,179.3830642190299,176.0,3.3830642190299045,POINT (37.4563253 55.677867),1658.169549624137,864.6422285705709,1458.9238552495106
33626,33627,55.87408899,37.51000106,167.84924456794684,176.0,-8.15075543205316,POINT (37.51000106 55.87408899),1425.5633229790299,1014.4714023945086,492.0950854534256
54815,54816,55.752,37.884,229.5588715246731,153.0,76.5588715246731,POINT (37.884 55.752),1948.4744173406948,478.007953519409,702.1148774530284
45568,45569,55.62577293,37.5252682,263.5806029972,230.0,33.5806029972,POINT (37.5252682 55.62577293),1132.250738133418,1411.5534913113224,2967.1743659850845
55931,55932,55.7,37.984,111.15912189911556,124.0,-12.840878100884453,POINT (37.984 55.7),1725.6897271888702,812.6660616106183,1085.1558279026356
27213,27214,55.814,37.46,157.79816779811662,152.0,5.798167798116623,POINT (37.46 55.814),875.1834717045763,575.2167179089996,230.60399039162155
50351,50352,55.714,37.862,131.54501073255145,150.0,-18.454989267448557,POINT (37.862 55.714),1270.0343268951428,1099.0468008513494,163.41846782411835
40597,55161,55.752,37.5,123.15024189520555,136.0,-12.849758104794446,POINT (37.5 55.752),865.2424983233653,590.5406085460713,1214.0974865534447
56437,56438,55.6606221,37.5125904,237.82040623460685,197.0,40.82040623460685,POINT (37.5125904 55.6606221),1157.1903469942724,0.0,961.6086954046241
35434,35435,55.782,37.528,154.7715479074315,147.0,7.771547907431511,POINT (37.528 55.782),3877.080270987638,894.1906026890416,579.8651444096893
34705,34706,55.792,37.706,141.72816514065343,138.0,3.728165140653431,POINT (37.706 55.792),2207.972996275343,57.3033489845592,321.8977570144111
24028,24029,55.686,37.588,193.8148703269644,172.0,21.81487032696441,POINT (37.588 55.686),1405.9285984270427,530.7234461450577,783.0286342210491
30920,30921,55.89739968,37.48269618,207.7756496395176,181.0,26.77564963951758,POINT (37.48269618 55.89739968),1773.0409616382915,751.9826815835096,547.4583251211835
