sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
31088;BME280;17745;55.914;37.554;2019-09-02T16:32:19;99101.22;;;23.18;51.05
31088;BME280;17745;55.914;37.554;2019-09-02T16:34:52;99097.16;;;23.11;51.15
31088;BME280;17745;55.914;37.554;2019-09-02T16:37:24;99100.42;;;23.05;51.25
31088;BME280;17745;55.914;37.554;2019-09-02T16:39:58;99096.73;;;22.97;51.52
31088;BME280;17745;55.914;37.554;2019-09-02T16:42:31;99099.88;;;22.87;51.62
31088;BME280;17745;55.914;37.554;2019-09-02T16:45:04;99095.59;;;22.73;51.85
31088;BME280;17745;55.914;37.554;2019-09-02T16:47:37;99103.34;;;22.62;52.18
31088;BME280;17745;55.914;37.554;2019-09-02T16:50:11;99097.59;;;22.51;52.45
31088;BME280;17745;55.914;37.554;2019-09-02T16:52:46;99108.13;;;22.44;52.67
31088;BME280;17745;55.914;37.554;2019-09-02T16:55:19;99109.13;;;22.39;52.91
31088;BME280;17745;55.914;37.554;2019-09-02T16:57:52;99113.94;;;22.34;53.17
31088;BME280;17745;55.914;37.554;2019-09-02T17:00:34;99111.91;;;22.31;53.33
31088;BME280;17745;55.914;37.554;2019-09-02T17:03:19;99118.43;;;22.30;53.40
31088;BME280;17745;55.914;37.554;2019-09-02T17:05:53;99116.08;;;22.28;53.66
31088;BME280;17745;55.914;37.554;2019-09-02T17:08:26;99112.13;;;22.25;53.80
31088;BME280;17745;55.914;37.554;2019-09-02T17:10:58;99109.66;;;22.20;53.94
31088;BME280;17745;55.914;37.554;2019-09-02T17:13:31;99106.83;;;22.17;54.13
31088;BME280;17745;55.914;37.554;2019-09-02T17:16:05;99112.09;;;22.13;54.28
31088;BME280;17745;55.914;37.554;2019-09-02T17:18:38;99116.25;;;22.10;54.41
31088;BME280;17745;55.914;37.554;2019-09-02T17:21:11;99112.97;;;22.05;54.55
31088;BME280;17745;55.914;37.554;2019-09-02T17:23:45;99106.53;;;21.97;54.65
