sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:22:32;7.82;;;4.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:24:58;6.37;;;4.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:27:23;7.65;;;4.82;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:29:49;6.05;;;3.83;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:32:15;11.20;;;4.95;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:34:40;7.85;;;5.03;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:37:06;9.77;;;5.37;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:39:32;9.45;;;5.55;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:41:57;10.90;;;5.45;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:44:23;9.63;;;4.68;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:46:49;7.62;;;4.47;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:49:14;8.77;;;4.60;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:51:40;9.35;;;5.25;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:54:06;14.98;;;6.05;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:56:31;9.43;;;5.07;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T17:58:57;10.75;;;6.22;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:01:24;12.10;;;5.78;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:03:50;9.20;;;5.15;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:06:16;11.80;;;6.82;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:08:42;8.38;;;5.47;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:11:08;15.50;;;6.03;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:28:07;11.85;;;7.40;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:33:32;15.20;;;8.05;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:35:58;15.70;;;7.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:38:24;22.65;;;6.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:40:49;14.07;;;6.93;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:43:15;13.27;;;6.50;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:45:41;13.85;;;6.03;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:48:07;9.70;;;4.87;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:50:33;12.20;;;6.90;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:53:00;14.18;;;6.32;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:55:28;11.88;;;5.97;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T18:57:55;8.13;;;4.62;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:03:16;17.58;;;5.22;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:05:44;15.93;;;5.15;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:08:11;7.72;;;4.35;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:10:38;7.70;;;3.85;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:13:06;6.10;;;4.65;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:18:11;7.15;;;4.07;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:20:38;6.60;;;3.28;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:23:05;7.53;;;4.15;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:25:32;6.78;;;3.37;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:27:59;6.25;;;2.92;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:30:27;4.22;;;2.95;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:32:54;6.93;;;4.12;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:35:21;5.68;;;3.50;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:37:49;5.72;;;3.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:40:17;8.82;;;3.55;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:42:44;5.82;;;4.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:45:12;4.90;;;3.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:47:41;6.68;;;3.47;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:50:08;7.68;;;3.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:52:37;7.90;;;3.87;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:55:07;6.40;;;3.10;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T19:57:36;8.93;;;3.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:00:07;22.42;;;3.70;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:02:36;6.45;;;3.35;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:05:03;3.85;;;2.55;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:07:32;4.78;;;2.37;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:09:59;7.47;;;2.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:12:26;6.70;;;3.78;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:14:53;2.67;;;1.98;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:17:20;3.10;;;2.28;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:19:47;6.57;;;2.50;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:22:14;3.40;;;1.87;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:24:42;3.25;;;1.80;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:27:09;5.10;;;2.20;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:29:36;6.30;;;2.62;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:32:03;4.40;;;1.65;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:34:30;9.18;;;2.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:36:57;2.37;;;1.90;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:39:24;4.00;;;1.85;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:41:51;2.62;;;1.62;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:44:19;2.78;;;1.87;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:46:46;4.62;;;1.80;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:49:13;2.75;;;1.48;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:51:40;2.62;;;2.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:54:07;4.57;;;2.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:56:34;4.55;;;2.58;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T20:59:01;14.23;;;2.85;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:01:28;3.80;;;2.12;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:03:56;4.70;;;2.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:06:23;2.15;;;1.85;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:08:50;3.30;;;2.12;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:11:17;4.25;;;1.95;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:13:45;4.37;;;2.28;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:16:13;4.30;;;2.22;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:18:41;4.87;;;2.00;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:21:10;2.72;;;2.08;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:23:37;3.45;;;2.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:26:04;3.10;;;2.42;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:28:32;5.57;;;1.95;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:30:59;4.18;;;2.65;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:33:27;3.00;;;2.17;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:35:54;3.62;;;2.10;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:38:21;5.50;;;2.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:40:48;3.72;;;2.45;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:43:15;3.22;;;2.72;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:45:43;4.55;;;2.22;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:48:10;3.80;;;2.53;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:50:37;3.03;;;2.53;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:53:04;4.70;;;2.85;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:55:31;3.37;;;2.30;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T21:57:58;4.50;;;2.37;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:00:33;4.05;;;2.50;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:03:25;5.43;;;2.22;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:05:52;2.90;;;2.60;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:08:19;4.12;;;2.78;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:10:46;7.57;;;3.05;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:13:13;4.87;;;2.87;;
32337;SDS011;18812;55.93744762;37.51974016;2019-10-05T22:15:40;8.43;;;2.50;;
