sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
35489;BME280;21602;55.670;37.578;2019-12-01T10:00:48;98655.00;;;-1.69;54.51
35489;BME280;21602;55.670;37.578;2019-12-01T10:03:14;98665.00;;;-1.65;54.68
35489;BME280;21602;55.670;37.578;2019-12-01T10:05:42;98659.00;;;2.30;78.08
35489;BME280;21602;55.670;37.578;2019-12-01T10:08:08;98665.00;;;1.36;51.69
35489;BME280;21602;55.670;37.578;2019-12-01T10:10:35;98671.00;;;0.23;51.67
35489;BME280;21602;55.670;37.578;2019-12-01T10:13:01;98677.00;;;-0.47;52.88
35489;BME280;21602;55.670;37.578;2019-12-01T10:15:28;98683.00;;;-0.78;53.77
35489;BME280;21602;55.670;37.578;2019-12-01T10:17:54;98689.00;;;-0.92;53.88
35489;BME280;21602;55.670;37.578;2019-12-01T10:20:20;98679.00;;;-1.64;56.30
35489;BME280;21602;55.670;37.578;2019-12-01T10:22:47;98688.00;;;-2.01;56.59
35489;BME280;21602;55.670;37.578;2019-12-01T10:25:13;98681.00;;;-1.71;56.46
35489;BME280;21602;55.670;37.578;2019-12-01T10:27:39;98697.00;;;-2.07;56.03
35489;BME280;21602;55.670;37.578;2019-12-01T10:30:06;98686.00;;;-1.99;57.16
35489;BME280;21602;55.670;37.578;2019-12-01T10:32:32;98694.00;;;-1.89;57.13
35489;BME280;21602;55.670;37.578;2019-12-01T10:35:02;98692.00;;;-1.93;56.98
35489;BME280;21602;55.670;37.578;2019-12-01T10:37:31;98693.00;;;-2.06;57.37
35489;BME280;21602;55.670;37.578;2019-12-01T10:39:57;98693.00;;;-2.02;57.00
35489;BME280;21602;55.670;37.578;2019-12-01T10:42:23;98692.00;;;-2.05;57.40
35489;BME280;21602;55.670;37.578;2019-12-01T10:44:50;98697.00;;;-1.85;56.81
35489;BME280;21602;55.670;37.578;2019-12-01T10:47:16;98694.00;;;-2.06;56.94
35489;BME280;21602;55.670;37.578;2019-12-01T10:49:42;98704.00;;;-2.23;57.34
35489;BME280;21602;55.670;37.578;2019-12-01T10:52:10;98705.00;;;-2.21;57.46
35489;BME280;21602;55.670;37.578;2019-12-01T10:54:36;98710.00;;;-2.03;57.58
35489;BME280;21602;55.670;37.578;2019-12-01T10:57:03;98705.00;;;-1.95;56.68
35489;BME280;21602;55.670;37.578;2019-12-01T10:59:29;98711.00;;;-2.04;56.81
35489;BME280;21602;55.670;37.578;2019-12-01T11:01:56;98714.00;;;-2.09;56.79
35489;BME280;21602;55.670;37.578;2019-12-01T11:04:25;98724.00;;;-2.16;56.94
