sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
35443;BME280;21561;55.654;37.592;2019-11-30T13:22:53;97759.00;;;27.64;35.10
35443;BME280;21561;55.654;37.592;2019-11-30T13:27:29;97790.00;;;27.89;36.24
35443;BME280;21561;55.654;37.592;2019-11-30T13:29:55;97812.00;;;19.86;24.69
35443;BME280;21561;55.654;37.592;2019-11-30T13:32:21;97821.00;;;13.91;33.73
35443;BME280;21561;55.654;37.592;2019-11-30T13:34:48;97835.00;;;9.95;43.44
35443;BME280;21561;55.654;37.592;2019-11-30T13:37:14;97852.00;;;7.42;50.59
35443;BME280;21561;55.654;37.592;2019-11-30T13:39:40;97858.00;;;6.09;55.51
35443;BME280;21561;55.654;37.592;2019-11-30T13:42:06;97880.00;;;5.18;60.09
35443;BME280;21561;55.654;37.592;2019-11-30T13:44:32;97875.00;;;4.50;62.88
35443;BME280;21561;55.654;37.592;2019-11-30T13:46:58;97880.00;;;4.14;63.95
35443;BME280;21561;55.654;37.592;2019-11-30T13:49:25;97889.00;;;3.85;65.38
35443;BME280;21561;55.654;37.592;2019-11-30T13:51:51;97878.00;;;3.58;67.61
35443;BME280;21561;55.654;37.592;2019-11-30T13:54:17;97891.00;;;3.40;69.34
35443;BME280;21561;55.654;37.592;2019-11-30T13:56:43;97891.00;;;3.24;69.56
35443;BME280;21561;55.654;37.592;2019-11-30T13:59:10;97894.00;;;3.14;69.98
35443;BME280;21561;55.654;37.592;2019-11-30T14:01:36;97900.00;;;3.11;69.34
35443;BME280;21561;55.654;37.592;2019-11-30T14:04:02;97902.00;;;2.94;71.00
35443;BME280;21561;55.654;37.592;2019-11-30T14:06:28;97894.00;;;2.84;71.92
35443;BME280;21561;55.654;37.592;2019-11-30T14:08:54;97897.00;;;2.85;71.22
35443;BME280;21561;55.654;37.592;2019-11-30T14:11:20;97910.00;;;2.77;72.50
35443;BME280;21561;55.654;37.592;2019-11-30T14:13:46;97919.00;;;2.75;72.61
35443;BME280;21561;55.654;37.592;2019-11-30T14:16:12;97919.00;;;2.71;72.28
35443;BME280;21561;55.654;37.592;2019-11-30T14:18:39;97915.00;;;2.73;71.98
35443;BME280;21561;55.654;37.592;2019-11-30T14:21:05;97917.00;;;2.72;70.29
35443;BME280;21561;55.654;37.592;2019-11-30T14:23:31;97906.00;;;2.70;71.31
35443;BME280;21561;55.654;37.592;2019-11-30T14:25:57;97911.00;;;2.70;70.54
35443;BME280;21561;55.654;37.592;2019-11-30T14:28:24;97913.00;;;2.70;71.30
35443;BME280;21561;55.654;37.592;2019-11-30T14:30:50;97915.00;;;2.71;70.88
35443;BME280;21561;55.654;37.592;2019-11-30T14:33:16;97923.00;;;2.63;71.44
35443;BME280;21561;55.654;37.592;2019-11-30T14:35:42;97922.00;;;2.60;72.32
35443;BME280;21561;55.654;37.592;2019-11-30T14:38:08;97922.00;;;2.60;72.29
35443;BME280;21561;55.654;37.592;2019-11-30T14:40:35;97925.00;;;2.56;72.56
35443;BME280;21561;55.654;37.592;2019-11-30T14:43:01;97917.00;;;2.54;72.49
35443;BME280;21561;55.654;37.592;2019-11-30T14:45:45;97920.00;;;2.53;72.33
35443;BME280;21561;55.654;37.592;2019-11-30T14:49:44;97923.00;;;2.48;72.84
35443;BME280;21561;55.654;37.592;2019-11-30T14:53:31;97924.00;;;2.45;73.15
35443;BME280;21561;55.654;37.592;2019-11-30T14:55:57;97927.00;;;2.41;73.52
35443;BME280;21561;55.654;37.592;2019-11-30T14:58:23;97929.00;;;2.41;73.83
35443;BME280;21561;55.654;37.592;2019-11-30T15:00:53;97933.00;;;2.40;74.43
35443;BME280;21561;55.654;37.592;2019-11-30T15:03:25;97936.00;;;2.43;73.73
35443;BME280;21561;55.654;37.592;2019-11-30T15:05:54;97938.00;;;2.39;74.62
35443;BME280;21561;55.654;37.592;2019-11-30T15:08:23;97937.00;;;2.35;74.87
35443;BME280;21561;55.654;37.592;2019-11-30T15:10:53;97942.00;;;2.32;75.38
35443;BME280;21561;55.654;37.592;2019-11-30T15:13:23;97947.00;;;2.32;75.49
35443;BME280;21561;55.654;37.592;2019-11-30T15:15:52;97942.00;;;2.32;75.37
35443;BME280;21561;55.654;37.592;2019-11-30T15:18:20;97949.00;;;2.33;75.67
35443;BME280;21561;55.654;37.592;2019-11-30T15:20:49;97950.00;;;2.31;75.93
35443;BME280;21561;55.654;37.592;2019-11-30T15:23:19;97954.00;;;2.33;76.28
35443;BME280;21561;55.654;37.592;2019-11-30T15:25:47;97953.00;;;2.35;75.62
