,Unnamed: 0,timestamp,P1,P2,pressure,temperature,humidity,sds_sensor,lat,lon,sealevel_alt,surface_alt,nearest_park,nearest_road,nearest_indust,temp_meteo,pres_meteo,hum_meteo,wind_direction,wind_speed,precipitation,prec_amount,prec_time,visibility,dew_point_temp,pred,low_bound,up_bound
2968,13980,2021-06-13 12:00:00+00:00,8.091111111111111,3.062222222222222,98625.68523809523,34.201904761904764,39.86571428571429,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,26.2,99204.9002,39.0,"Ветер, дующий с запада",1.0,,,,10.0,11.3,4.818763060082101,21.801109332620605,21.801109332599218
2969,13981,2021-06-13 13:00:00+00:00,6.833500000000001,2.7760000000000002,98631.72590909088,36.28636363636363,27.14636363636364,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,25.3,99204.9002,38.0,"Ветер, дующий с востоко-юго-востока",1.0,,Осадков нет,12,10.0,9.8,5.409502576361838,24.558267580606444,24.55826758058033
2970,13982,2021-06-13 14:00:00+00:00,6.85217391304348,3.3573913043478254,98646.41159999998,36.94920000000001,28.148000000000003,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,25.3,99204.9002,38.0,"Ветер, дующий с востоко-юго-востока",1.0,,Осадков нет,12,10.0,9.8,8.045265151514652,37.413531246143165,37.41353124610556
2971,13983,2021-06-13 15:00:00+00:00,7.2329166666666636,3.01375,98669.79833333332,34.535000000000004,36.905,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,25.3,99204.9002,38.0,"Ветер, дующий с востоко-юго-востока",1.0,,Осадков нет,12,10.0,9.8,7.8405166729074445,36.403734598611074,36.403734598570765
2972,13984,2021-06-13 16:00:00+00:00,7.8939999999999975,3.5912000000000006,98735.3292,30.432799999999997,74.7252,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,22.6,99391.55099999999,54.0,"Ветер, дующий с юго-запада",1.0,,Осадков нет,12,10.0,12.7,8.01661667090753,37.28269857980883,37.28269857977087
2973,13985,2021-06-13 17:00:00+00:00,9.759545454545457,4.5204545454545455,98808.56869565217,24.911304347826082,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,22.6,99391.55099999999,54.0,"Ветер, дующий с юго-запада",1.0,,Осадков нет,12,10.0,12.7,8.045265151515233,37.41353124614581,37.4135312461082
2974,13986,2021-06-13 18:00:00+00:00,12.622916666666667,5.9766666666666675,98879.024,23.094400000000004,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,22.6,99391.55099999999,54.0,"Ветер, дующий с юго-запада",1.0,,Осадков нет,12,10.0,12.7,9.745410122938726,46.79040406033327,46.79040406028995
2975,13987,2021-06-13 19:00:00+00:00,15.34625,7.618333333333332,98945.67434782608,21.99217391304348,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,19.8,99511.5408,68.0,"Штиль, безветрие",0.0,,,,10.0,13.8,8.045607538819267,37.415087501995345,37.415087501957736
2976,13988,2021-06-13 20:00:00+00:00,18.24347826086956,8.921739130434784,98973.16291666668,21.222083333333334,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,19.8,99511.5408,68.0,"Штиль, безветрие",0.0,,,,10.0,13.8,15.526255761484572,543.3316709409266,543.3316709403688
2977,13989,2021-06-13 21:00:00+00:00,14.35,6.812399999999998,98991.19680000002,20.494799999999994,100.0,33626,55.87408899,37.51000106,167.98172410371382,-8.018275896286184,1396.5661521548313,933.0080621437628,492.09323228251054,19.8,99511.5408,68.0,"Штиль, безветрие",0.0,,,,10.0,13.8,8.045265151515414,37.41353124614667,37.413531246109
